id,date,component,condition,damage_severity,condition_confidence,detection_confidence,damage_found,decision,certainty,estimated_value_inr,value_low_inr,value_high_inr,is_sample
1,2026-07-20,Battery,No visible damage,0.0,0.65,0.53,,Needs further testing,0.6,145,40,250,1
2,2026-07-20,Arduino board,Moderate visible damage,0.56,0.65,0.66,"crack, corrosion",Needs further testing,0.6,192,60,324,1
3,2026-07-21,Capacitor,Minor visible damage,0.22,0.8,0.69,broken,Potentially reusable,0.81,6,5,7,1
4,2026-07-23,Arduino board,No visible damage,0.0,0.82,0.71,,Potentially reusable,0.71,450,382,518,1
5,2026-07-23,Sensor module,Moderate visible damage,0.58,0.68,0.95,"broken, corrosion",Needs further testing,0.6,32,8,57,1
6,2026-07-23,Motor,Moderate visible damage,0.55,0.82,0.61,corrosion,Needs further testing,0.6,61,35,87,1
7,2026-07-24,Battery,No visible damage,0.0,0.58,0.86,,Needs further testing,0.6,108,40,175,1
8,2026-07-24,Sensor module,No visible damage,0.0,0.76,0.74,,Potentially repairable,0.83,16,12,20,1
9,2026-07-24,Motor,Minor visible damage,0.34,0.82,0.66,broken,Needs further testing,0.6,67,35,100,1
10,2026-07-24,Sensor module,No visible damage,0.0,0.7,0.57,,Potentially repairable,0.78,16,12,20,1
11,2026-07-25,Capacitor,No visible damage,0.0,0.75,0.77,,Potentially reusable,0.84,10,8,12,1
12,2026-07-26,Battery,Severe visible damage,0.76,0.78,0.72,broken,Needs further testing,0.6,74,40,108,1
13,2026-07-26,Capacitor,Minor visible damage,0.23,0.86,0.86,crack,Recycle / material recovery,0.93,2,2,2,1
14,2026-07-26,Arduino board,Minor visible damage,0.29,0.57,0.64,crack,Potentially repairable,0.78,215,161,269,1
15,2026-07-27,Sensor module,No visible damage,0.0,0.7,0.88,,Potentially repairable,0.85,16,12,20,1
16,2026-07-27,Sensor module,No visible damage,0.0,0.84,0.58,,Potentially reusable,0.58,80,68,92,1
17,2026-07-27,Capacitor,No visible damage,0.0,0.84,0.54,,Potentially reusable,0.6,10,8,12,1
